C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C10,C13,C14,C15,C16
b,30.83,0,u,g,w,v,1.25,t,01,f,t,g,00202,0,+
a,58.67,4.46,u,g,q,h,3.04,t,06,f,t,g,00043,560,+
a,24.50,0.5,u,g,q,h,1.5,t,0,f,f,g,00280,824,+
b,27.83,1.54,u,g,w,v,3.75,t,05,t,t,g,00100,3,+
b,20.17,5.625,u,g,w,v,1.71,t,0,f,f,s,00120,0,+
b,32.08,4,u,g,m,v,2.5,t,0,t,f,g,00360,0,+
b,33.17,1.04,u,g,r,h,6.5,t,0,t,f,g,00164,31285,+
a,22.92,11.585,u,g,cc,v,0.04,t,0,f,f,g,00080,1349,+
b,54.42,0.5,y,p,k,h,3.96,t,0,f,f,g,00180,314,+
b,42.50,4.915,y,p,w,v,3.165,t,0,t,f,g,00052,1442,+
b,22.08,0.83,u,g,c,h,2.165,f,0,t,f,g,00128,0,+
b,29.92,1.835,u,g,c,h,4.335,t,0,f,f,g,00260,200,+
a,38.25,6,u,g,k,v,1,t,0,t,f,g,00000,0,+
b,48.08,6.04,u,g,k,v,0.04,f,0,f,f,g,00000,2690,+
a,45.83,10.5,u,g,q,v,5,t,07,t,t,g,00000,0,+
b,36.67,4.415,y,p,k,v,0.25,t,10,t,t,g,00320,0,+
b,28.25,0.875,u,g,m,v,0.96,t,03,t,t,g,00396,0,+
a,23.25,5.875,u,g,q,v,3.17,t,10,f,t,g,00120,245,+
b,21.83,0.25,u,g,d,h,0.665,t,0,t,f,g,00000,0,+
a,19.17,8.585,u,g,cc,h,0.75,t,07,f,t,g,00096,0,+
b,25.00,11.25,u,g,c,v,2.5,t,17,f,t,g,00200,1208,+
b,23.25,1,u,g,c,v,0.835,t,0,f,f,s,00300,0,+
a,47.75,8,u,g,c,v,7.875,t,06,t,t,g,00000,1260,+
a,27.42,14.5,u,g,x,h,3.085,t,01,f,t,g,00120,11,+
a,41.17,6.5,u,g,q,v,0.5,t,03,t,t,g,00145,0,+
a,15.83,0.585,u,g,c,h,1.5,t,02,f,t,g,00100,0,+
a,47.00,13,u,g,i,bb,5.165,t,09,t,t,g,00000,0,+
b,56.58,18.5,u,g,d,bb,15,t,17,t,t,g,00000,0,+
b,57.42,8.5,u,g,e,h,7,t,03,f,t,g,00000,0,+
b,42.08,1.04,u,g,w,v,5,t,06,t,t,g,00500,10000,+
b,29.25,14.79,u,g,aa,v,5.04,t,05,t,t,g,00168,0,+
b,42.00,9.79,u,g,x,h,7.96,t,08,f,t,g,00000,0,+
b,49.50,7.585,u,g,i,bb,7.585,t,15,t,t,g,00000,5000,+
a,36.75,5.125,u,g,e,v,5,t,0,t,f,g,00000,4000,+
a,22.58,10.75,u,g,q,v,0.415,t,05,t,t,g,00000,560,+
b,27.83,1.5,u,g,w,v,2,t,11,t,t,g,00434,35,+
b,27.25,1.585,u,g,cc,h,1.835,t,12,t,t,g,00583,713,+
a,23.00,11.75,u,g,x,h,0.5,t,02,t,t,g,00300,551,+
b,27.75,0.585,y,p,cc,v,0.25,t,02,f,t,g,00260,500,+
b,54.58,9.415,u,g,ff,ff,14.415,t,11,t,t,g,00030,300,+
b,34.17,9.17,u,g,c,v,4.5,t,12,t,t,g,00000,221,+
b,28.92,15,u,g,c,h,5.335,t,11,f,t,g,00000,2283,+
b,29.67,1.415,u,g,w,h,0.75,t,01,f,t,g,00240,100,+
b,39.58,13.915,u,g,w,v,8.625,t,06,t,t,g,00070,0,+
b,56.42,28,y,p,c,v,28.5,t,40,f,t,g,00000,15,+
b,54.33,6.75,u,g,c,h,2.625,t,11,t,t,g,00000,284,+
a,41.00,2.04,y,p,q,h,0.125,t,23,t,t,g,00455,1236,+
b,31.92,4.46,u,g,cc,h,6.04,t,03,f,t,g,00311,300,+
b,41.50,1.54,u,g,i,bb,3.5,f,0,f,f,g,00216,0,+
b,23.92,0.665,u,g,c,v,0.165,f,0,f,f,g,00100,0,+
a,25.75,0.5,u,g,c,h,0.875,t,0,t,f,g,00491,0,+
b,26.00,1,u,g,q,v,1.75,t,0,t,f,g,00280,0,+
b,37.42,2.04,u,g,w,v,0.04,t,0,t,f,g,00400,5800,+
b,34.92,2.5,u,g,w,v,0,t,0,t,f,g,00239,200,+
b,34.25,3,u,g,cc,h,7.415,t,0,t,f,g,00000,0,+
b,23.33,11.625,y,p,w,v,0.835,t,0,t,f,g,00160,300,+
b,23.17,0,u,g,cc,v,0.085,t,0,f,f,g,00000,0,+
b,44.33,0.5,u,g,i,h,5,t,0,t,f,g,00320,0,+
b,35.17,4.5,u,g,x,h,5.75,f,0,t,f,s,00711,0,+
b,43.25,3,u,g,q,h,6,t,11,f,t,g,00080,0,+
b,56.75,12.25,u,g,m,v,1.25,t,04,t,t,g,00200,0,+
b,31.67,16.165,u,g,d,v,3,t,09,f,t,g,00250,730,+
a,23.42,0.79,y,p,q,v,1.5,t,02,t,t,g,00080,400,+
a,20.42,0.835,u,g,q,v,1.585,t,01,f,t,g,00000,0,+
b,26.67,4.25,u,g,cc,v,4.29,t,01,t,t,g,00120,0,+
b,34.17,1.54,u,g,cc,v,1.54,t,01,t,t,g,00520,50000,+
a,36.00,1,u,g,c,v,2,t,11,f,t,g,00000,456,+
b,25.50,0.375,u,g,m,v,0.25,t,03,f,t,g,00260,15108,+
b,19.42,6.5,u,g,w,h,1.46,t,07,f,t,g,00080,2954,+
